gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,predicted,actual
0,0,0,0,7,1,2,1,0,2,0,0,0,0,0,1,0,78.55,522.95,1,0
0,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,3,20.65,38.7,0,1
0,0,0,0,60,1,2,1,0,2,2,0,2,2,0,1,2,105.9,6396.45,0,1
0,0,1,1,30,0,1,0,0,0,0,2,2,2,0,0,1,51.2,1561.5,0,1
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,3,75.0,209.1,0,1
0,0,1,1,48,1,2,1,2,2,0,0,2,2,1,1,1,103.25,5037.55,0,1
0,1,1,0,38,1,2,1,0,0,0,0,0,0,0,1,0,74.95,2869.85,0,1
1,1,1,0,62,1,2,1,0,2,2,0,2,2,1,1,2,103.75,6383.35,0,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.75,19.75,1,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.6,20.6,0,1
1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,3,50.3,92.75,1,0
0,0,1,1,9,1,0,1,0,0,0,2,0,0,0,1,2,75.85,647.5,1,0
0,1,1,1,34,1,2,1,0,2,0,0,0,0,0,1,3,79.6,2718.3,0,1
1,1,1,0,27,1,2,1,0,0,0,0,0,0,0,1,2,75.5,1893.95,0,1
0,1,0,0,26,1,0,1,0,0,0,0,2,2,0,1,2,91.25,2351.8,0,1
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,0,1
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.25,70.25,1,0
0,0,0,0,34,1,2,0,2,2,0,2,0,0,1,1,3,64.4,2088.75,0,1
0,0,0,0,2,1,2,0,0,0,0,2,0,0,0,1,3,54.35,117.05,1,0
1,0,1,0,20,1,0,1,0,0,0,0,2,2,0,1,3,89.0,1820.45,0,1
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,71.1,71.1,1,0
1,1,1,0,14,1,2,1,0,0,0,0,0,0,0,1,2,75.1,1013.35,1,0
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.25,20.25,1,0
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.55,89.55,0,1
0,1,0,0,32,1,0,1,0,2,0,0,0,0,0,1,2,74.4,2276.95,0,1
0,0,1,1,49,1,2,1,0,2,0,0,2,2,1,0,3,100.45,4941.8,0,1
0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,1,2,75.65,302.35,1,0
1,0,1,1,18,1,0,0,0,0,2,0,0,2,0,0,2,57.45,990.85,0,1
0,0,0,0,47,1,2,1,0,2,2,0,2,2,0,1,2,106.35,4849.1,1,0
